name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Kareem Thomas,Seton Hall,SG,77,77,15.9,3.0,1.5,29.2
Nathan Mariano,Seton Hall,PF,76,76,,,,
Devin Williams,Seton Hall,PF,76,76,7.5,5.2,1.3,23.8
Rodney Brown Jr.,Seton Hall,SG,79,79,14.0,2.4,1.7,32.3
Mayar Wol,Seton Hall,PF,77,77,10.5,2.7,0.7,19.9
Roddie Anderson lll,Seton Hall,PG,77,77,10.9,3.3,2.2,23.8
Trey Parker,Seton Hall,PG,75,75,4.3,2.8,1.5,15.5
Darien Moore,Seton Hall,PG,73,73,,,,
Chris Nwuli,Seton Hall,PF,71,71,2.2,1.5,0.4,10.1
Abdulai Fanta Kabba,Seton Hall,C,71,71,4.7,5.8,0.4,17.4
Malik Mack,Providence,PG,85,85,13.6,3.0,4.1,32.3
Devin Vanterpool,Providence,SG,85,85,15.8,6.3,2.4,31.2
Miles Bryd,Providence,SF,86,86,10.4,4.7,2.6,28.1
Dink Pate,Providence,PF,84,84,,,,
Arrinten Page,Providence,C,83,83,10.2,4.5,1.8,22.8
Ryan Sabol,Providence,SG,79,79,18.8,3.2,3.3,36.3
Ryan Mela,Providence,SF,79,79,9.9,5.3,2.0,25.8
Samson Aletan,Providence,C,77,77,7.8,5.8,1.2,25.9
Leonardo Marangon,Providence,SF,75,75,,,,
Gavin Hightower,Providence,PG,74,74,4.1,1.7,1.7,10.1
Jacob Bannarbie,Providence,PF,73,73,5.4,4.8,1.3,16.2
Layden Blocker,DePaul,PG,81,81,11.1,2.5,3.5,29.1
Kahmare Holmes,DePaul,SG,82,82,19.5,5.7,2.7,31.8
Kruz McClure,DePaul,SF,77,77,5.0,1.4,1.5,18.6
Matt Hodge,Villanova,PF,80,80,9.2,3.6,0.7,27.6
Jaland Lowe,Georgetown,PG,83,83,8.0,2.1,2.4,18.6
Kayvaun Mulready,Georgetown,SG,79,79,5.4,2.5,1.1,16.7
Caleb Williams,Georgetown,SF,79,79,8.8,5.1,1.5,30.0
Chol Machot,Georgetown,C,80,80,8.9,5.5,0.2,19.8
Josiah Parker,Georgetown,SF,76,76,9.6,6.0,1.2,21.8
Elmarko Jackson,Georgetown,SG,76,76,4.8,1.8,1.4,17.8
Justin Caldwell,Georgetown,PF,69,69,,,,
Gabriel Landeira,Georgetown,SG,69,69,,,,
Seal Diouf,Georgetown,C,68,68,0.6,0.8,0.0,2.9
Athan Olivier,Georgetown,PG,66,66,,,,
Jordan Ellerbee,Butler,PG,77,77,13.1,3.4,2.1,26.9
Samu Adler,Butler,SG,80,80,,,,
Eduardo Klafke,Butler,SF,76,76,4.6,2.5,1.1,15.0
Treyson Anderson,Butler,PF,77,77,10.4,5.3,0.8,18.2
Drayton Jones,Butler,C,77,77,6.3,4.6,1.4,19.5
Jalen Jackson,Butler,PG,81,81,9.5,3.5,3.8,22.5
Samis Calderon,Butler,PF,74,74,0.4,0.8,0.3,4.1
Asim Djulovic,Butler,SF,75,75,,,,
Marko Maric,Butler,C,72,72,,,,
Christian Moore,Butler,SF,70,70,11.2,3.1,1.0,25.1
Herly Brutus,Butler,SF,68,68,,,,
Baron Walker,Butler,SG,67,67,,,,
Kevin Ndzie,Butler,C,62,62,,,,
Chance Westrey,Xavier,PG,82,82,15.5,3.8,5.5,30.6
Tru Washington,Xavier,SG,83,83,11.9,4.0,1.8,27.5
Gabriel Pozzato,Xavier,SF,81,81,,,,
Jovan Miliecevic,Xavier,PF,86,86,12.4,3.9,1.4,26.1
Michael Nwoko,Xavier,C,83,83,13.4,5.9,0.8,21.8
Ruben Dominguez,Xavier,SF,79,79,10.2,2.3,1.4,23.3
Nikolaos Chitikoudis,Xavier,PF,76,76,11.3,7.7,1.8,26.2
Kalek House,Xavier,SG,74,74,,,,
Rolyns Aligbe,Xavier,PF,70,70,9.5,7.4,0.7,24.5
Braden Appelhans,Xavier,SF,69,69,5.3,1.4,0.5,13.6
Asher Elson,Xavier,PF,66,66,,,,
Kason Westphal,Xavier,C,68,68,,,,
Gedeon Basson,Xavier,PG,65,65,,,,
Harrison Aligbe,Xavier,PF,60,60,,,,
Aden Holloway,Alabama,PG,90,90,16.8,2.8,3.8,28.4
Qayden Samuels,Alabama,SG,84,84,,,,
Jaxon Richardson,Alabama,SG,86,86,,,,
Amari Allen,Alabama,PF,91,91,11.4,6.9,3.1,28.3
Magoon Gwath,DePaul,PF,84,84,8.9,4.3,0.3,19.0
Wilson Jacques,DePaul,C,79,79,8.8,8.8,1.1,27.4
Noah Meeusen,DePaul,SG,77,77,5.9,3.2,2.6,27.3
Ade Popoola,DePaul,SF,77,77,10.8,4.2,1.3,28.7
Koree Cotton,DePaul,SF,76,76,13.9,5.3,2.5,27.1
Asmal Delalic,DePaul,SF,75,75,3.8,2.0,0.7,13.3
Theo Pierre-Justin,DePaul,PF,72,72,4.0,2.6,0.9,15.5
Fabian Flores,DePaul,C,70,70,2.9,2.9,0.3,10.5
Noah Smith,DePaul,SF,65,65,,,,
Mason Lockett,DePaul,SG,62,62,,,,
Andrew Jensen,DePaul,PF,61,61,,,,
Nate Kasher,DePaul,SG,60,60,0.4,0.8,0.4,1.8
Zoom Diallo,Kentucky,PG,85,85,15.7,3.9,4.5,29.6
Alex Wilkins,Kentucky,PG,85,85,17.8,2.0,4.7,29.7
Milan Momcilovic,Kentucky,PF,87,87,16.9,3.1,1.0,30.5
Ousmane N'Diaye,Kentucky,PF,84,84,,,,
Malchi Moreno,Kentucky,C,84,84,7.8,6.3,1.8,22.6
Justin McBride,Kentucky,PF,80,80,15.3,5.6,1.5,27.1
Kam Williams,Kentucky,SF,79,79,6.0,2.1,1.0,18.5
Franck Kepnang,Kentucky,C,73,73,6.2,6.3,0.2,22.9
Braydon Hawthrone,Kentucky,SF,70,70,,,,
Trent Noah,Kentucky,SF,73,73,3.0,2.3,0.5,10.6
Jerone Morton,Kentucky,PG,68,68,7.8,1.9,2.6,25.0
Mason Williams,Kentucky,PG,67,67,,,,
Reece Potter,Kentucky,C,60,60,,,,
Ace Glass,Vanderbilt,PG,84,84,16.4,3.0,2.3,28.8
Tyler Tanner,Vanderbilt,PG,97,97,19.5,3.6,5.1,33.5
Sebsastian Williams-Adams,Vanderbilt,SF,85,85,7.0,3.5,1.5,27.3
Berke Buyuktuncel,Vanderbilt,PF,85,85,6.5,5.6,1.9,24.3
Bangot Dak,Vanderbilt,C,85,85,11.5,6.5,1.4,25.7
AK Okereke,Vanderbilt,SF,85,85,9.6,3.6,2.0,26.2
TO Barrett,Vanderbilt,PG,77,77,8.6,2.7,3.0,22.8
Chandler Bing,Vanderbilt,SG,77,77,3.6,1.6,0.4,14.9
Anthony Brown,Vanderbilt,PG,75,75,,,,
Ethan MgBako,Vanderbilt,SF,75,75,,,,
Jayden Leverett,Vanderbilt,C,70,70,1.0,1.2,0.0,4.0
Jackson Sheffield,Vanderbilt,C,68,68,,,,
Baylor Allen,Vanderbilt,SG,66,66,,,,
Coleson Messer,Vanderbilt,SG,58,58,0.0,0.0,0.0,1.1
Drew Fielder,Alabama,C,82,82,14.7,5.7,1.3,23.7
London Jeminson,Alabama,SF,84,84,6.2,3.4,0.4,15.5
Brandon Garrison,Alabama,C,77,77,4.7,4.1,1.1,16.2
Jamarion Davis-Fleming,Alabama,C,76,76,3.7,4.8,0.7,20.2
Cole Cloer,Alabama,SG,75,75,,,,
Keitenn Bristow,Alabama,SF,75,75,3.6,4.0,0.5,12.5
Tarris Bouie,Alabama,SF,75,75,,,,
Collins Onyejiaka,Alabama,C,71,71,1.0,3.0,0.0,5.5
Urban Klavzar,Florida,PG,81,81,9.6,1.5,1.3,20.7
Boogie Fland,Florida,PG,82,82,11.6,2.5,3.5,30.0
Thomas Haugh,Florida,SF,94,94,17.1,6.1,2.1,33.3
Alex Condon,Florida,PF,92,92,15.1,7.5,3.6,30.5
Rueben Chinyelu,Florida,C,94,94,10.9,11.2,0.7,24.5
Isaiah Brown,Florida,SF,78,78,5.5,2.5,0.6,12.8
CJ Ingram,Florida,SF,77,77,2.2,0.9,0.4,5.3
Domen Petrovic,Florida,SF,77,77,,,,
AJ Brown,Florida,SG,77,77,13.2,3.2,1.1,26.6
Alex Lloyd,Florida,SF,75,75,1.2,0.8,0.2,4.8
Arturas Butajevas,Florida,C,76,76,,,,
