espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
4897715,2022,Khamari McGriff,DELETE (phantom),19999,Kansas State,28596,UNC Wilmington
4897715,2023,Khamari McGriff,KEEP (bbref=UNC Wilmington),33355,UNC Wilmington,,
4897715,2023,Khamari McGriff,DELETE (phantom),20000,Kansas State,33355,UNC Wilmington
4897715,2024,Khamari McGriff,UNRESOLVED (no bbref row),20001,Kansas State,,
4897715,2024,Khamari McGriff,UNRESOLVED (no bbref row),48953,UNC Wilmington,,
4897715,2025,Khamari McGriff,UNRESOLVED (no bbref row),20002,Kansas State,,
4897715,2025,Khamari McGriff,UNRESOLVED (no bbref row),53816,UNC Wilmington,,
5108121,2023,Kheni Briggs,UNRESOLVED (no bbref row),20007,New Haven,,
5108121,2023,Kheni Briggs,UNRESOLVED (no bbref row),29784,Charleston Southern,,
5108121,2025,Kheni Briggs,KEEP (bbref=Albany (NY)),53626,Albany (NY),,
5108121,2025,Kheni Briggs,DELETE (phantom),20009,New Haven,53626,Albany (NY)
5242551,2025,Khouri Carvey,KEEP (bbref=Morehead State),51928,Morehead State,,
